day,NmeanC,NseC,NmeanSI,NseSI,NmeanP,NseP,PmeanC,PseC,PmeanSI,PseSI,PmeanP,PseP
-125,85242181.4,14468248.9,104271961.3,16530814.15,NA,NA,81803890.7,7630850.3,84863414.33,5148583.432,NA,NA
-124,46127951.3,7601463.2,46470800.8,2356858.448,NA,NA,59783157.1,6063538.3,38356695.97,798701.7035,NA,NA
-118,1117493.456,266149.169,2011220.472,730281.2768,NA,NA,1621286.307,558452.857,118854.4933,73617.80475,NA,NA
-115,887784.291,347943.264,1336370.209,380413.5061,NA,NA,2254786.471,643761.1594,114870.9087,42729.36789,NA,NA
-112,1192136.69,448643.06,1557864.592,442315.7139,NA,NA,1224727.8,563640.4965,33631.90333,7974.392395,NA,NA
-110,2066272.306,624443.2227,2569352.247,483325.8981,NA,NA,694221.259,467058.976,47607.102,5576.670588,NA,NA
-108,2188787.942,214709.4994,6845684.13,4516307.163,NA,NA,467414.0701,254161.6811,29485.057,8401.490417,NA,NA
-105,33579659.6,5369676.217,41388465.12,12762546.19,NA,NA,1393634.239,508494.787,49827.46067,12326.80723,NA,NA
-103,29745867.51,7127596.213,39219533.88,18665383.18,NA,NA,13039203.21,11753713.49,139066.2877,40213.79768,NA,NA
-101,37169783.65,10594049.55,124584977.8,46469597.09,NA,NA,30929188.07,23103893.13,669351.0651,204000.1716,NA,NA
-98,85266670.65,26110438.35,138037739.2,44034674.88,NA,NA,74771067.89,61780990.12,1764760.66,643824.6817,NA,NA
-96,252729060,152959855.5,120780981,19118749.79,NA,NA,77748470.9,32942939.1,6210049.32,4660538.393,NA,NA
-89,270532744.8,237668171.3,122348293,29875774.26,NA,NA,103344635,979570,50121331.67,14069490.32,NA,NA
-74,29276898.38,7677379.875,48531163.03,29388039.47,NA,NA,98495763.5,5828441.5,28987108.92,4360286.339,NA,NA
-68,54953877,42170488.5,108245750.2,63412303.45,NA,NA,125629852.5,391828,60677831.03,28757866.5,NA,NA
-62,196648677.5,NA,137858151.3,10997185.16,NA,NA,143825365.3,7714113.75,175968322.2,87870564.78,NA,NA
-55,166330986,NA,136045946.8,36948928.67,NA,NA,109662861.5,685699,128806924.5,41306697.32,NA,NA
-48,159816845.5,NA,143653940.5,31769734.54,NA,NA,73810599.5,32619681,112340352.8,26260521.09,NA,NA
-46,149629317.5,NA,109679187.7,41797885.1,NA,NA,51109064.75,33574761.75,120242217.5,37724384.07,NA,NA
-45,123621734,NA,201024090.2,39595639.67,NA,NA,38913418.25,30342180.75,130576681,38683600.48,NA,NA
-41,76896245,NA,78218664.5,23700533.7,NA,NA,19297529,440806.5,121580963.2,42483330.27,NA,NA
-39,109222055,NA,88585780.33,6606612.858,NA,NA,21085244.25,857123.75,94104024.67,22771602.42,NA,NA
-34,111768937,NA,114674994.7,6936085.012,NA,NA,65704657.75,37639977.25,143360069.5,23141965.49,NA,NA
-32,27183067.5,NA,96030512.33,14619414.51,NA,NA,49786645.25,19419975.25,136241860.8,33075326.87,NA,NA
-27,62839415.5,NA,218591045.5,21396168.64,NA,NA,90046972.25,21477072.25,126086985.2,26236576.52,NA,NA
-24,138119370,NA,112879116.3,54253509.97,NA,NA,28603444,18366937.5,70137212,17287329.14,NA,NA
-19,84634848,NA,169204391.3,42565532.14,NA,NA,78806406.5,64651620,90806139,25860663.46,NA,NA
-17,91344902.5,NA,145221252.5,58472869.63,NA,NA,49713177.5,33158444.5,78267643,13743335.68,NA,NA
-13,100797753,NA,95459096.5,14094323.99,NA,NA,20815862.5,12146668,45517352.67,15364067.88,NA,NA
-11,41925596,NA,68194398.17,17798060.28,NA,NA,16187394.25,8154920.25,17452672.17,3507049.091,NA,NA
-6,49786645.25,NA,50668258.25,15725404.07,NA,NA,15477206,8767151.5,38505264.08,8391983.171,NA,NA
0,93622402.75,NA,27411633.83,5388605.825,NA,NA,30660541,21060755,67010751.08,26857854.2,NA,NA
2,20448523.75,NA,18379998.43,4396681.242,2254906.206,78542.65861,13469087.5,5510081.25,27878562.2,9509815.367,2081046.616,132735.1875
4,21746454,NA,20948648.66,13129109.57,30410751.91,1923388.273,13308274.76,6209657.492,16839896.71,4289610.876,39479674.58,14732276.76
7,21868900.25,NA,9772843.367,3680745.53,90063658.36,5379296.198,8367160.417,399991.0833,11935516.24,4449592.354,134365365.1,5404388.045
9,18053475.1,NA,5217842.867,599108.7753,384382481.1,89007658.47,15653528.6,1214666.8,13646498.51,1008037.931,246121958.7,18356756.15
11,27604282.6,NA,4133785.4,987300.3046,480495463.4,86985419.49,20676763.56,4690181.16,13885078.23,1779080.832,225866598,37996917.1
