med.base,med.add,perc.change
NL,+N,75.47123717
NL,+N,72.28982673
NL,+N,89.73127594
NL,+N,99.84048173
NL,+N,97.15873393
NL,+P,28.23786868
NL,+P,37.98794961
NL,+P,5.321543908
NL,+P,67.72253819
NL,+P,34.52814793
PL,+N,10.60153831
PL,+N,31.30646003
PL,+N,24.33469977
PL,+N,32.37705967
PL,+N,28.17891902
PL,+P,35.94368728
PL,+P,55.27155895
PL,+P,39.97512598
PL,+P,54.91852606
PL,+P,38.03616818
