"day","microbe","lim","type","cID","abd"
-125,"Syn","N","Control","NL1",70773932.5
-124,"Syn","N","Control","NL1",38526488.1
-118,"Syn","N","Control","NL1",851344.287
-115,"Syn","N","Control","NL1",539841.027
-112,"Syn","N","Control","NL1",743493.63
-110,"Syn","N","Control","NL1",1441829.083
-108,"Syn","N","Control","NL1",1974078.4425
-105,"Syn","N","Control","NL1",28209983.3833333
-103,"Syn","N","Control","NL1",22618271.3
-101,"Syn","N","Control","NL1",26575734.1
-98,"Syn","N","Control","NL1",59156232.3
-96,"Syn","N","Control","NL1",99769204.5
-89,"Syn","N","Control","NL1",32864573.5
-74,"Syn","N","Control","NL1",21599518.5
-68,"Syn","N","Control","NL1",97124365.5
-62,"Syn","N","Control","NL1",196648677.5
-55,"Syn","N","Control","NL1",166330986
-48,"Syn","N","Control","NL1",159816845.5
-46,"Syn","N","Control","NL1",149629317.5
-45,"Syn","N","Control","NL1",123621734
-41,"Syn","N","Control","NL1",76896245
-39,"Syn","N","Control","NL1",109222055
-34,"Syn","N","Control","NL1",111768937
-32,"Syn","N","Control","NL1",27183067.5
-27,"Syn","N","Control","NL1",62839415.5
-24,"Syn","N","Control","NL1",138119370
-19,"Syn","N","Control","NL1",84634848
-17,"Syn","N","Control","NL1",91344902.5
-13,"Syn","N","Control","NL1",100797753
-11,"Syn","N","Control","NL1",41925596
-6,"Syn","N","Control","NL1",49786645.25
0,"Syn","N","Control","NL1",93622402.75
2,"Syn","N","Control","NL1",20448523.75
4,"Syn","N","Control","NL1",21746454
7,"Syn","N","Control","NL1",21868900.25
9,"Syn","N","Control","NL1",18053475.1
11,"Syn","N","Control","NL1",27604282.6
14,"Syn","N","Control","NL1",17305736.6666667
16,"Syn","N","Control","NL1",7751663.93333333
18,"Syn","N","Control","NL1",5557427.13333333
21,"Syn","N","Control","NL1",6752502.53333333
23,"Syn","N","Control","NL1",5211312.4
25,"Syn","N","Control","NL1",4264394.73333333
28,"Syn","N","Control","NL1",8587563.66666667
30,"Syn","N","Control","NL1",9906717.93333333
32,"Syn","N","Control","NL1",36231029.0666667
35,"Syn","N","Control","NL1",10370381.0666667
37,"Syn","N","Control","NL1",15104969.4
39,"Syn","N","Control","NL1",14249478.2666667
42,"Syn","N","Control","NL1",17880417.7333333
44,"Syn","N","Control","NL1",24450067.2
46,"Syn","N","Control","NL1",23352948.8
49,"Syn","N","Control","NL1",25436167.6666667
51,"Syn","N","Control","NL1",18415916
53,"Syn","N","Control","NL1",14478044.6
56,"Syn","N","Control","NL1",8372058.26666667
58,"Syn","N","Control","NL1",10050388.2
60,"Syn","N","Control","NL1",13385824.05
63,"Syn","N","Control","NL1",8047167.55
65,"Syn","N","Control","NL1",16189026.8666667
67,"Syn","N","Control","NL1",5069274.75
70,"Syn","N","Control","NL1",10530377.5
72,"Syn","N","Control","NL1",14384985.45
74,"Syn","N","Control","NL1",13273173.5
77,"Syn","N","Control","NL1",15851891.525
79,"Syn","N","Control","NL1",11801369.575
81,"Syn","N","Control","NL1",13525412.775
84,"Syn","N","Control","NL1",14610286.55
86,"Syn","N","Control","NL1",14056829.5
88,"Syn","N","Control","NL1",16057601.225
91,"Syn","N","Control","NL1",7870844.95
93,"Syn","N","Control","NL1",8318508.44
95,"Syn","N","Control","NL1",9141347.24
98,"Syn","N","Control","NL1",8428220.28
100,"Syn","N","Control","NL1",8216633.16
102,"Syn","N","Control","NL1",8818089.14
105,"Syn","N","Control","NL1",7809132.04
107,"Syn","N","Control","NL1",9972022.6
109,"Syn","N","Control","NL1",13273173.5
112,"Syn","N","Control","NL1",11202362.52
114,"Syn","N","Control","NL1",11764635.7
117,"Syn","N","Control","NL1",6724748.05
119,"Syn","N","Control","NL1",9343138.66
121,"Syn","N","Control","NL1",8404710.6
125,"Syn","N","Control","NL1",8046187.98
129,"Syn","N","Control","NL1",15443900.62
131,"Syn","N","Control","NL1",7883089.575
135,"Syn","N","Control","NL1",18707338.075
144,"Syn","N","Control","NL1",11524641.05
146,"Syn","N","Control","NL1",9347546.725
149,"Syn","N","Control","NL1",10586702.775
156,"Syn","N","Control","NL1",21106672.34375
158,"Syn","N","Control","NL1",2234644.0625
160,"Syn","N","Control","NL1",10770168.0729167
166,"Syn","N","Control","NL1",22299911.05
-125,"Syn","N","Infect","NL2",84272407.1
-124,"Syn","N","Infect","NL2",41994165.9
-118,"Syn","N","Infect","NL2",3367075.961
-115,"Syn","N","Infect","NL2",2042036.11125
-112,"Syn","N","Infect","NL2",1505435.82833333
-110,"Syn","N","Infect","NL2",2084688.22166667
-108,"Syn","N","Infect","NL2",2251664.09125
-105,"Syn","N","Infect","NL2",30143001.5166667
-103,"Syn","N","Infect","NL2",16865746.475
-101,"Syn","N","Infect","NL2",122730325.3
-98,"Syn","N","Infect","NL2",64945491
-96,"Syn","N","Infect","NL2",93597913.5
-89,"Syn","N","Infect","NL2",177547062.5
-74,"Syn","N","Infect","NL2",8110839.6
-68,"Syn","N","Infect","NL2",53347382.2
-62,"Syn","N","Infect","NL2",118332056
-55,"Syn","N","Infect","NL2",106479259
-48,"Syn","N","Infect","NL2",120683024
-46,"Syn","N","Infect","NL2",193220182.5
-45,"Syn","N","Infect","NL2",170494158.5
-41,"Syn","N","Infect","NL2",121417701.5
-39,"Syn","N","Infect","NL2",79492105.5
-34,"Syn","N","Infect","NL2",101532430.5
-32,"Syn","N","Infect","NL2",84291998.5
-27,"Syn","N","Infect","NL2",201938355.5
-24,"Syn","N","Infect","NL2",59361942
-19,"Syn","N","Infect","NL2",115295389
-17,"Syn","N","Infect","NL2",34382907
-13,"Syn","N","Infect","NL2",67688287
-11,"Syn","N","Infect","NL2",32717638
-6,"Syn","N","Infect","NL2",42390891.75
0,"Syn","N","Infect","NL2",17215942.75
2,"Syn","N","Infect","NL2",9599786
4,"Syn","N","Infect","NL2",6576179.93333333
7,"Syn","N","Infect","NL2",7826764.3
9,"Syn","N","Infect","NL2",5740280.2
11,"Syn","N","Infect","NL2",4678426.32
14,"Syn","N","Infect","NL2",2777080.95
16,"Syn","N","Infect","NL2",649781.433333333
18,"Syn","N","Infect","NL2",1624686.81428571
21,"Syn","N","Infect","NL2",1310524.72142857
23,"Syn","N","Infect","NL2",93339.0271428572
25,"Syn","N","Infect","NL2",218150.239
28,"Syn","N","Infect","NL2",619088.24
30,"Syn","N","Infect","NL2",1031737.79767442
32,"Syn","N","Infect","NL2",754004.151351352
35,"Syn","N","Infect","NL2",587609.625675676
