sample,time,BNL2,PNL2,BNL3,PNL3,BNL5,PNL5,BPL2,PPL2,BPL4,PPL4,BPL5,PPL5
39,91,54571844.7,20380521.17,36276742.3,97183559.8,35542064.8,85191199.4,2080695.7,108543703.5,8808083.5,232798979.7,630533.7,492812912.5
40,93,44851245.07,38620537.25,35083299.5,76004300.6,34378009.1,88786931.9,823328.6,29160995,10273240.4,335865118.3,393297.4,442796669.3
41,95,43153323.73,46823548.85,28603444,84262631.2,19895066.7,177178728.3,846437.5,125574040.7,7877701.9,280842509.2,665862.7,183998765.9
42,98,84902597.13,127278767.9,40608074.4,160128634.4,61115372.3,143374892,922510,215230270.5,8863639.1,385454615.2,1513190.8,403887683.2
43,100,56521189,41082795.48,80035766.8,146476705.1,22059916.4,132805019.1,1080710.6,91276285.1,8028065.9,122926633.3,1137770.6,312097722
44,102,42957409.73,49194361.45,75270158.8,125155197.2,18063270.8,102798434.3,1160790.4,219110500.5,7745949.8,143031124.2,1900093.7,283051316.3
45,105,29772397.53,64762697.52,40012169.3,156070593.5,8688785.9,301282865.2,1555067.4,239778059.3,8715234.3,152917412.7,NaN,NaN
46,107,25116174.8,179391486.7,39770542,561906294.3,5113355.4,473451276.2,1644759.3,280230049.3,7262532,428791093.9,1000079.7,257648059.3
47,109,28877723.6,114095356.4,24959443.6,583901508.2,4809688.7,344330895,1280175.5,319704079.1,12442987.9,408965173.5,1032834.1,203089734.3
48,112,26696547.73,177858361.3,17273084.3,307583299.7,3484004,156710712.9,2053729.7,61700397.9,10805881.6,241763614.9,464377.4,130483598.5
49,114,28094067.6,169953394.7,19175082.8,240795533.1,5204781.9,110124245.3,2983840.2,166976331.4,NaN,NaN,1117254,88786931.9
50,117,53190651,291271262.3,29960148.4,536435864.3,11477295.2,208512968.2,5362096.2,233050878.6,37463654.6,210172537,2598581.5,101352238.7
51,119,37155090.1,156781837.2,22726024,276258938.2,7332081.5,166121521.8,5266658.1,113265572,29680971,186899060,1950784.8,123356343.1
52,121,24058239.2,129754573.6,13738469.2,237436881.9,18799580.9,207031210.3,5496612.2,287698109,22241136.9,163467528.8,1681921.7,161503141.2
53,125,23640289.33,222808968.2,9000289.2,222698330.2,11265055,137566401.1,10084673.2,70223469.2,25826363.1,149835356.3,1771389.1,86314513
54,129,23783959.6,84519469.19,9282405.3,184093598.4,7714113.8,171291210.3,7149636.5,83002149.1,22270523.9,50063659.4,1701186.6,73867746.9
55,131,20564439.53,97227024.73,18200410.6,163072393.3,11460969,128112785.9,11992385.7,99716378,26898992.2,70432891,2389497.8,112105567.2
56,135,39052190.67,86273870.51,14279681.7,214795621.6,9021839.7,151228208.7,5194169.9,156592172.2,33040896.1,200274394.4,2397660.8,193712323.8
57,144,27493264.67,130821439.3,14015197.8,392646080.1,18717623.6,310428274.8,34520046.8,174610348,28794460.1,333336251.6,5494081.6,242872816.5
58,146,18807744,181367163.9,14669060.8,214795621.6,16941663.1,294929087.4,153895344.8,187442371.2,52700866,745959250.2,10531077.2,392922674.9
59,149,17351449.93,157137459.1,11833205.6,261895765.2,37879971.9,378381691,46176929.8,237940679.6,14948238.2,378302663.9,10481399,573973730.5
