"P.trt","P.lim","P.cID","P.daynumber","P.tm.pt","P.iso","P.iso.id","B.trt","B.lim","B.cID","B.daynumber","B.tm.pt","B.iso","B.iso.id","infectivity"
"T",NA,"RIM8-1","0",NA,"1","NARIM8-11","C","N","N1","-6","1","4","1N14",0
"T","N","N2","9","3","1","3N21","C","N","N1","-6","1","4","1N14",0
"T","N","N2","9","3","2","3N22","C","N","N1","-6","1","4","1N14",0
"T","N","N3","9","3","1","3N31","C","N","N1","-6","1","4","1N14",0
"T","N","N3","9","3","2","3N32","C","N","N1","-6","1","4","1N14",0
"T","N","N5","9","3","1","3N51","C","N","N1","-6","1","4","1N14",0
"T","N","N5","9","3","2","3N52","C","N","N1","-6","1","4","1N14",0
"T","N","N2","23","5","2","5N22","C","N","N1","-6","1","4","1N14",0
"T","N","N2","23","5","2","5N22","C","N","N1","-6","1","4","1N14",1
"T","N","N2","23","5","3","5N23","C","N","N1","-6","1","4","1N14",0
"T","N","N3","23","5","1","5N31","C","N","N1","-6","1","4","1N14",0
"T","N","N3","23","5","2","5N32","C","N","N1","-6","1","4","1N14",0
"T","N","N3","23","5","3","5N33","C","N","N1","-6","1","4","1N14",1
"T","N","N5","23","5","1","5N51","C","N","N1","-6","1","4","1N14",0
"T","N","N5","23","5","2","5N52","C","N","N1","-6","1","4","1N14",0
"T","N","N5","23","5","3","5N53","C","N","N1","-6","1","4","1N14",1
"T","N","N2","72","12","1","12N21","C","N","N1","-6","1","4","1N14",0
"T","N","N2","72","12","2","12N22","C","N","N1","-6","1","4","1N14",0
"T","N","N2","72","12","3","12N23","C","N","N1","-6","1","4","1N14",0
"T","N","N2","72","12","4","12N24","C","N","N1","-6","1","4","1N14",0
"T","N","N2","72","12","5","12N25","C","N","N1","-6","1","4","1N14",1
"T","N","N3","72","12","1","12N31","C","N","N1","-6","1","4","1N14",1
"T","N","N3","72","12","4","12N34","C","N","N1","-6","1","4","1N14",0
"T","N","N5","72","12","1","12N51","C","N","N1","-6","1","4","1N14",1
"T","N","N5","72","12","2","12N52","C","N","N1","-6","1","4","1N14",0
"T","N","N5","72","12","3","12N53","C","N","N1","-6","1","4","1N14",0
"T","N","N5","72","12","4","12N54","C","N","N1","-6","1","4","1N14",1
"T","N","N5","72","12","5","12N55","C","N","N1","-6","1","4","1N14",0
"T","N","N2","129","19","1","19N21","C","N","N1","-6","1","4","1N14",0
"T","N","N2","129","19","3","19N23","C","N","N1","-6","1","4","1N14",0
"T","N","N3","129","19","1","19N31","C","N","N1","-6","1","4","1N14",1
"T","N","N3","129","19","2","19N32","C","N","N1","-6","1","4","1N14",1
"T","N","N3","129","19","3","19N33","C","N","N1","-6","1","4","1N14",1
"T","N","N3","129","19","4","19N34","C","N","N1","-6","1","4","1N14",0
"T","N","N5","129","19","1","19N51","C","N","N1","-6","1","4","1N14",0
"T","N","N5","129","19","2","19N52","C","N","N1","-6","1","4","1N14",1
"T","N","N5","129","19","3","19N53","C","N","N1","-6","1","4","1N14",1
"T","N","N5","129","19","4","19N54","C","N","N1","-6","1","4","1N14",1
"T","N","N2","166","21","1","21N21","C","N","N1","-6","1","4","1N14",0
"T","N","N2","166","21","2","21N22","C","N","N1","-6","1","4","1N14",0
"T","N","N2","166","21","3","21N23","C","N","N1","-6","1","4","1N14",0
"T","N","N2","166","21","4","21N24","C","N","N1","-6","1","4","1N14",0
"T","N","N3","166","21","1","21N31","C","N","N1","-6","1","4","1N14",1
"T","N","N3","166","21","2","21N32","C","N","N1","-6","1","4","1N14",0
"T","N","N3","166","21","3","21N33","C","N","N1","-6","1","4","1N14",1
"T","N","N3","166","21","4","21N34","C","N","N1","-6","1","4","1N14",0
"T","P","P2","9","3","1","3P21","C","N","N1","-6","1","4","1N14",0
"T","P","P2","9","3","2","3P22","C","N","N1","-6","1","4","1N14",0
"T","P","P4","9","3","1","3P41","C","N","N1","-6","1","4","1N14",1
"T","P","P4","9","3","2","3P42","C","N","N1","-6","1","4","1N14",1
"T","P","P5","9","3","1","3P51","C","N","N1","-6","1","4","1N14",1
"T","P","P2","23","5","1","5P21","C","N","N1","-6","1","4","1N14",1
"T","P","P2","23","5","2","5P22","C","N","N1","-6","1","4","1N14",1
"T","P","P2","23","5","3","5P23","C","N","N1","-6","1","4","1N14",1
"T","P","P4","23","5","1","5P41","C","N","N1","-6","1","4","1N14",1
"T","P","P4","23","5","2","5P42","C","N","N1","-6","1","4","1N14",1
"T","P","P4","23","5","3","5P43","C","N","N1","-6","1","4","1N14",1
"T","P","P5","23","5","1","5P51","C","N","N1","-6","1","4","1N14",0
"T","P","P5","23","5","2","5P52","C","N","N1","-6","1","4","1N14",0
"T","P","P5","23","5","3","5P53","C","N","N1","-6","1","4","1N14",1
"T","P","P2","72","12","1","12P21","C","N","N1","-6","1","4","1N14",0
