sample,time,B1,P1,B4,P4,B6,P6,B8,P8
1,29,4.16E+06,41582748.74,5.11E+06,343809497.1,2.40E+07,1604029135,4.49E+06,44913286.91
2,31,7.33E+06,329221185.8,9.59E+06,642110860.3,2.90E+07,534828960,9.72E+06,613671647.2
3,34,8.11E+05,48891422.44,2.30E+05,176862613.3,9.60E+05,52446818.01,2.62E+05,134588062.7
4,36,2.98E+05,129156597.1,7.82E+04,32675723.43,7.52E+05,68054173.11,8.42E+04,102561349.2
5,38,2.31E+05,115304466.4,6.62E+04,103628214.8,1.93E+05,64640203.1,1.29E+05,27817533.46
6,41,7.14E+04,48544756.96,2.85E+04,125238170.9,1.97E+05,103786269,2.42E+04,38534593.84
7,43,4.54E+02,21769327.32,1.67E+03,39483511.55,3.57E+03,26292310.74,2.56E+03,13940377.56
8,45,2.62E+02,4253278.171,3.08E+02,6702761.13,3.20E+03,13769528.53,1.69E+03,7858165.83
9,48,2.41E+02,707302.77,3.20E+02,637485.1417,6.40E+03,21743180.09,1.14E+03,20850184.71
10,50,1.39E+02,425797.9269,1.21E+02,505457.2272,2.91E+03,9506958.167,1.34E+02,107871.9692
11,52,2.16E+03,251306.1261,1.25E+03,523475.4023,5.83E+03,1942169.609,2.35E+02,47416.25021
12,55,1.56E+02,91039.2004,4.01E+02,371743.4016,1.12E+04,3614171.96,7.80E+02,40777.97518
13,57,2.64E+02,65855.90307,4.47E+02,102735.2088,9.89E+03,93295.86268,1.14E+03,112895.8338
14,59,1.81E+02,75734.28853,1.70E+02,118540.6255,1.37E+04,134346.0423,1.69E+04,111955.0352
15,62,5.36E+02,111356.3452,4.34E+02,32104.75275,1.63E+04,113601.4328,1.74E+04,89893.30769
16,64,1.64E+03,228300.464,1.33E+03,210409.6103,8.95E+03,321596.3267,3.34E+04,262482.8137
17,66,3.08E+03,586529.1367,3.85E+03,1538558.535,9.91E+04,793234.3525,2.11E+04,353152.2802
18,69,1.49E+03,1892698.654,2.69E+03,4163739.472,3.93E+04,938446.6187,1.69E+04,1140953.521
19,71,1.33E+03,2134979.055,5.84E+02,3039631.198,1.99E+04,783615.9245,3.63E+04,384043.8979
20,73,5.08E+02,156642.9694,1.14E+03,185494.127,1.49E+05,230907.2601,1.57E+05,238069.0896
21,76,1.65E+03,2907538.12,1.85E+03,1314922.865,3.23E+04,1529738.548,5.30E+04,9344952.645
22,78,3.08E+03,3845655.46,3.23E+03,2343153.031,5.96E+04,63221.66695,1.95E+05,8125520.84
23,80,4.91E+03,4822448.175,5.93E+03,4415638.301,1.01E+05,188677.1623,1.98E+05,7063045.604
24,83,1.50E+04,3896035.226,3.01E+03,11738485.44,1.93E+05,5031061.715,2.66E+05,12577160.37
25,85,1.42E+04,12634455,2.04E+03,4647780.359,4.86E+04,11624884.01,2.20E+05,17149865
26,87,1.31E+04,11007343.8,3.26E+03,10119982.54,7.18E+04,6960028.156,1.67E+04,14714278.5
27,90,8.37E+04,13928523.5,2.30E+03,24155676.45,1.20E+05,21205224.47,1.41E+06,24750529.97
28,92,1.00E+05,48625364.59,2.96E+03,65622396.85,1.93E+05,49067351.78,1.69E+06,39716189.86
29,94,6.71E+05,4504543.77,4.03E+03,4525617.659,1.45E+05,6028976.214,6.71E+05,10509811.86
30,97,1.90E+06,38598521.11,1.05E+04,2934727.2,2.20E+05,1109201.567,2.05E+06,10203977.05
31,99,3.27E+06,85223936,2.75E+04,3607021.891,4.40E+05,1611184.829,3.02E+06,7470693.644
32,101,3.23E+06,51021390.5,8.99E+04,7717841.44,4.68E+05,1349105.214,3.23E+06,7681432.534
33,104,1.71E+06,122229609.8,7.57E+04,16157087.26,3.35E+05,21250947.28,6.10E+05,27023875.74
34,106,1.73E+06,63290157.09,5.76E+04,31292843.54,4.80E+05,32039837.64,5.33E+05,31023775.14
35,108,1.29E+06,57255122.13,2.74E+04,17032218.13,3.17E+05,2950344.457,1.44E+05,7970921.219
36,111,8.41E+05,44836806.2,9.43E+04,70189597.81,3.44E+05,33218470.15,3.79E+04,28866335.75
37,113,6.53E+05,24470171.98,1.29E+05,44550953.95,3.42E+05,62611464.96,3.52E+04,39418144.86
38,115,5.52E+05,46745648.96,9.46E+04,91975429.42,4.09E+04,81208795.67,9.41E+03,44935364.26
39,118,5.82E+05,25660658.55,1.99E+04,38437644.54,2.59E+05,35292931.09,2.83E+04,24150112.29
40,120,4.27E+05,26152319.91,4.59E+04,30454780.13,2.97E+05,29692309.9,2.69E+04,20016431.34
41,122,5.46E+05,26564954.18,1.08E+05,64127091.53,2.15E+05,34231145.78,2.70E+04,25360920.11
